"n","org_trans","stemm","tokens1","tokens2","tokens3","tokens4","tokens5"
2,"collections officer","collect offic","collect","offic",NA,NA,NA
2,"collections specialist","collect specialist","collect","specialist",NA,NA,NA
1,"collector","collector","collector",NA,NA,NA,NA
1,"columnist","columnist","columnist",NA,NA,NA,NA
2,"combat engineer","combat engin","combat","engin",NA,NA,NA
1,"commercial","commerci","commerci",NA,NA,NA,NA
2,"sales commercial","sale commerci","sale","commerci",NA,NA,NA
1,"merchant","merchant","merchant",NA,NA,NA,NA
1,"commander","command","command",NA,NA,NA,NA
1,"commercial","commerci","commerci",NA,NA,NA,NA
3,"commercial account executive","commerci account execut","commerci","account","execut",NA,NA
3,"commercial account manager","commerci account manag","commerci","account","manag",NA,NA
2,"commercial analyst","commerci analyst","commerci","analyst",NA,NA,NA
2,"commercial assistant","commerci assist","commerci","assist",NA,NA,NA
2,"commercial director","commerci director","commerci","director",NA,NA,NA
2,"commercial diver","commerci diver","commerci","diver",NA,NA,NA
2,"commercial executive","commerci execut","commerci","execut",NA,NA,NA
2,"commercial manager","commerci manag","commerci","manag",NA,NA,NA
2,"commercial sales","commerci sale","commerci","sale",NA,NA,NA
3,"commercial sales manager","commerci sale manag","commerci","sale","manag",NA,NA
1,"commercial","commerci","commerci",NA,NA,NA,NA
2,"business consultant","busi consult","busi","consult",NA,NA,NA
1,"merchant","merchant","merchant",NA,NA,NA,NA
2,"commercial director","commerci director","commerci","director",NA,NA,NA
2,"commercial assistant","commerci assist","commerci","assist",NA,NA,NA
2,"sales representative","sale repres","sale","repres",NA,NA,NA
2,"shop assistant","shop assist","shop","assist",NA,NA,NA
2,"shop assistant","shop assist","shop","assist",NA,NA,NA
1,"clerk","clerk","clerk",NA,NA,NA,NA
2,"commis chef","commi chef","commi","chef",NA,NA,NA
2,"commis chef","commi chef","commi","chef",NA,NA,NA
1,"commissioner","commission","commission",NA,NA,NA,NA
2,"commissioning engineer","commiss engin","commiss","engin",NA,NA,NA
2,"commissioning manager","commiss manag","commiss","manag",NA,NA,NA
2,"committee member","committe member","committe","member",NA,NA,NA
2,"commodity manager","commod manag","commod","manag",NA,NA,NA
2,"communications adviser","communic advis","communic","advis",NA,NA,NA
1,"communications","communic","communic",NA,NA,NA,NA
2,"communications consultant","communic consult","communic","consult",NA,NA,NA
2,"communications manager","communic manag","communic","manag",NA,NA,NA
2,"communications officer","communic offic","communic","offic",NA,NA,NA
2,"communication specialist","communic specialist","communic","specialist",NA,NA,NA
1,"communications","communic","communic",NA,NA,NA,NA
2,"communications adviser","communic advis","communic","advis",NA,NA,NA
2,"communications assistant","communic assist","communic","assist",NA,NA,NA
2,"communications consultant","communic consult","communic","consult",NA,NA,NA
2,"communications coordinator","communic coordin","communic","coordin",NA,NA,NA
2,"communications director","communic director","communic","director",NA,NA,NA
2,"communications intern","communic intern","communic","intern",NA,NA,NA
2,"communications manager","communic manag","communic","manag",NA,NA,NA
2,"communications officer","communic offic","communic","offic",NA,NA,NA
2,"communications specialist","communic specialist","communic","specialist",NA,NA,NA
2,"community assistant","communiti assist","communiti","assist",NA,NA,NA
2,"community director","communiti director","communiti","director",NA,NA,NA
2,"community liaison","communiti liaison","communiti","liaison",NA,NA,NA
2,"community manager","communiti manag","communiti","manag",NA,NA,NA
2,"community organizer","communiti organ","communiti","organ",NA,NA,NA
3,"community outreach coordinator","communiti outreach coordin","communiti","outreach","coordin",NA,NA
3,"community relations manager","communiti relat manag","communiti","relat","manag",NA,NA
1,"company","compani","compani",NA,NA,NA,NA
2,"company commander","compani command","compani","command",NA,NA,NA
2,"company director","compani director","compani","director",NA,NA,NA
2,"company owner","compani owner","compani","owner",NA,NA,NA
2,"company secretary","compani secretari","compani","secretari",NA,NA,NA
2,"compliance analyst","complianc analyst","complianc","analyst",NA,NA,NA
2,"compliance manager","complianc manag","complianc","manag",NA,NA,NA
2,"compliance officer","complianc offic","complianc","offic",NA,NA,NA
2,"compliance specialist","complianc specialist","complianc","specialist",NA,NA,NA
1,"composer","compos","compos",NA,NA,NA,NA
1,"composer","compos","compos",NA,NA,NA,NA
1,"buyer","buyer","buyer",NA,NA,NA,NA
1,"buyer","buyer","buyer",NA,NA,NA,NA
1,"shopping","shop","shop",NA,NA,NA,NA
1,"accounting","account","account",NA,NA,NA,NA
1,"comptroller","comptrol","comptrol",NA,NA,NA,NA
1,"computer","comput","comput",NA,NA,NA,NA
2,"computer engineer","comput engin","comput","engin",NA,NA,NA
2,"computer instructor","comput instructor","comput","instructor",NA,NA,NA
3,"computer lab assistant","comput lab assist","comput","lab","assist",NA,NA
2,"computer operator","comput oper","comput","oper",NA,NA,NA
2,"computer programs","comput program","comput","program",NA,NA,NA
2,"computer science","comput scienc","comput","scienc",NA,NA,NA
2,"computer specialist","comput specialist","comput","specialist",NA,NA,NA
3,"computer systems analyst","comput system analyst","comput","system","analyst",NA,NA
2,"computer teacher","comput teacher","comput","teacher",NA,NA,NA
2,"computer teacher","comput teacher","comput","teacher",NA,NA,NA
2,"computer technician","comput technician","comput","technician",NA,NA,NA
2,"concept artist","concept artist","concept","artist",NA,NA,NA
1,"concierge","concierg","concierg",NA,NA,NA,NA
2,"work supervisor","work supervisor","work","supervisor",NA,NA,NA
1,"conductor","conductor","conductor",NA,NA,NA,NA
2,"conference coordinator","confer coordin","confer","coordin",NA,NA,NA
1,"lecturer","lectur","lectur",NA,NA,NA,NA
2,"configuration manager","configur manag","configur","manag",NA,NA,NA
1,"advisor","advisor","advisor",NA,NA,NA,NA
2,"customer advisor","custom advisor","custom","advisor",NA,NA,NA
2,"commercial counsellor","commerci counsellor","commerci","counsellor",NA,NA,NA
2,"sales consultant","sale consult","sale","consult",NA,NA,NA
2,"financial advisor","financi advisor","financi","advisor",NA,NA,NA
2,"customer advisor","custom advisor","custom","advisor",NA,NA,NA
2,"sales consultant","sale consult","sale","consult",NA,NA,NA
1,"construction","construct","construct",NA,NA,NA,NA
2,"construction consultant","construct consult","construct","consult",NA,NA,NA
2,"construction engineer","construct engin","construct","engin",NA,NA,NA
2,"construction foreman","construct foreman","construct","foreman",NA,NA,NA
2,"construction laborer","construct labor","construct","labor",NA,NA,NA
2,"construction manager","construct manag","construct","manag",NA,NA,NA
3,"construction project manager","construct project manag","construct","project","manag",NA,NA
2,"construction superintendent","construct superintend","construct","superintend",NA,NA,NA
2,"construction supervisor","construct supervisor","construct","supervisor",NA,NA,NA
2,"construction worker","construct worker","construct","worker",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
2,"labor consultant","labor consult","labor","consult",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
2,"consultant engineer","consult engin","consult","engin",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
1,"consulting","consult","consult",NA,NA,NA,NA
2,"consulting engineer","consult engin","consult","engin",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
2,"business consultant","busi consult","busi","consult",NA,NA,NA
2,"business consultant","busi consult","busi","consult",NA,NA,NA
2,"sales consultant","sale consult","sale","consult",NA,NA,NA
5,"sap and abap certified consultant","sap and abap certifi consult","sap","abap","certifi","consult",NA
2,"senior advisor","senior advisor","senior","advisor",NA,NA,NA
2,"technical advisor","technic advisor","technic","advisor",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
2,"business consultant","busi consult","busi","consult",NA,NA,NA
3,"human resources consulting","human resourc consult","human","resourc","consult",NA,NA
2,"sales consultant","sale consult","sale","consult",NA,NA,NA
3,"real estate consultant","real estat consult","real","estat","consult",NA,NA
1,"accountant","account","account",NA,NA,NA,NA
1,"accounting","account","account",NA,NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
1,"counter","counter","counter",NA,NA,NA,NA
2,"general counter","general counter","general","counter",NA,NA,NA
3,"certified public accountant","certifi public account","certifi","public","account",NA,NA
1,"counter","counter","counter",NA,NA,NA,NA
2,"content developer","content develop","content","develop",NA,NA,NA
2,"content editor","content editor","content","editor",NA,NA,NA
2,"content manager","content manag","content","manag",NA,NA,NA
2,"content producer","content produc","content","produc",NA,NA,NA
2,"content writer","content writer","content","writer",NA,NA,NA
3,"continuous improvement manager","continu improv manag","continu","improv","manag",NA,NA
2,"contract administrator","contract administr","contract","administr",NA,NA,NA
2,"contract attorney","contract attorney","contract","attorney",NA,NA,NA
2,"contracts manager","contract manag","contract","manag",NA,NA,NA
2,"contract recruiter","contract recruit","contract","recruit",NA,NA,NA
3,"contract software engineer","contract softwar engin","contract","softwar","engin",NA,NA
2,"contract specialist","contract specialist","contract","specialist",NA,NA,NA
2,"contracting officer","contract offic","contract","offic",NA,NA,NA
1,"contractor","contractor","contractor",NA,NA,NA,NA
2,"contracts administrator","contract administr","contract","administr",NA,NA,NA
2,"contracts manager","contract manag","contract","manag",NA,NA,NA
1,"comptroller","comptrol","comptrol",NA,NA,NA,NA
1,"contractor","contractor","contractor",NA,NA,NA,NA
2,"contributing writer","contribut writer","contribut","writer",NA,NA,NA
1,"contributor","contributor","contributor",NA,NA,NA,NA
2,"quality control","qualiti control","qualiti","control",NA,NA,NA
3,"control room operator","control room oper","control","room","oper",NA,NA
1,"controller","control","control",NA,NA,NA,NA
2,"management control","manag control","manag","control",NA,NA,NA
2,"management control","manag control","manag","control",NA,NA,NA
1,"controller","control","control",NA,NA,NA,NA
2,"controls engineer","control engin","control","engin",NA,NA,NA
1,"coo","coo","coo",NA,NA,NA,NA
1,"cook","cook","cook",NA,NA,NA,NA
1,"coordinator","coordin","coordin",NA,NA,NA,NA
2,"administrative coordinator","administr coordin","administr","coordin",NA,NA,NA
2,"commercial coordinator","commerci coordin","commerci","coordin",NA,NA,NA
2,"logistics coordinator","logist coordin","logist","coordin",NA,NA,NA
2,"production coordinator","product coordin","product","coordin",NA,NA,NA
2,"project coordinator","project coordin","project","coordin",NA,NA,NA
2,"sales coordinator","sale coordin","sale","coordin",NA,NA,NA
1,"coordinator","coordin","coordin",NA,NA,NA,NA
1,"coordinator","coordin","coordin",NA,NA,NA,NA
2,"administrative coordinator","administr coordin","administr","coordin",NA,NA,NA
2,"operations coordinator","oper coordin","oper","coordin",NA,NA,NA
2,"project coordinator","project coordin","project","coordin",NA,NA,NA
2,"project coordinator","project coordin","project","coordin",NA,NA,NA
2,"hr coordinator","hr coordin","hr","coordin",NA,NA,NA
1,"coordinator","coordin","coordin",NA,NA,NA,NA
1,"coordinator","coordin","coordin",NA,NA,NA,NA
2,"copy editor","copi editor","copi","editor",NA,NA,NA
1,"copywriter","copywrit","copywrit",NA,NA,NA,NA
2,"copywriting intern","copywrit intern","copywrit","intern",NA,NA,NA
1,"corporal","corpor","corpor",NA,NA,NA,NA
3,"corporate account manager","corpor account manag","corpor","account","manag",NA,NA
2,"corporate accountant","corpor account","corpor","account",NA,NA,NA
3,"corporate communications manager","corpor communic manag","corpor","communic","manag",NA,NA
2,"corporate controller","corpor control","corpor","control",NA,NA,NA
2,"corporate counsel","corpor counsel","corpor","counsel",NA,NA,NA
2,"corporate recruiter","corpor recruit","corpor","recruit",NA,NA,NA
2,"corporate sales","corpor sale","corpor","sale",NA,NA,NA
3,"corporate sales manager","corpor sale manag","corpor","sale","manag",NA,NA
2,"corporate secretary","corpor secretari","corpor","secretari",NA,NA,NA
2,"corporate trainer","corpor trainer","corpor","trainer",NA,NA,NA
2,"corps member","corp member","corp","member",NA,NA,NA
2,"correctional officer","correct offic","correct","offic",NA,NA,NA
2,"correctional officer","correct offic","correct","offic",NA,NA,NA
1,"correspondent","correspond","correspond",NA,NA,NA,NA
1,"broker","broker","broker",NA,NA,NA,NA
1,"realtor","realtor","realtor",NA,NA,NA,NA
1,"realtor","realtor","realtor",NA,NA,NA,NA
3,"real estate broker","real estat broker","real","estat","broker",NA,NA
1,"broker","broker","broker",NA,NA,NA,NA
1,"realtor","realtor","realtor",NA,NA,NA,NA
1,"cosmetologist","cosmetologist","cosmetologist",NA,NA,NA,NA
2,"cost accountant","cost account","cost","account",NA,NA,NA
2,"cost analyst","cost analyst","cost","analyst",NA,NA,NA
2,"cost controller","cost control","cost","control",NA,NA,NA
2,"cost engineer","cost engin","cost","engin",NA,NA,NA
2,"costume designer","costum design","costum","design",NA,NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
2,"council member","council member","council","member",NA,NA,NA
1,"councillor","councillor","councillor",NA,NA,NA,NA
1,"counsel","counsel","counsel",NA,NA,NA,NA
2,"counseling intern","counsel intern","counsel","intern",NA,NA,NA
1,"counselor","counselor","counselor",NA,NA,NA,NA
1,"counselor","counselor","counselor",NA,NA,NA,NA
2,"country manager","countri manag","countri","manag",NA,NA,NA
2,"country manager","countri manag","countri","manag",NA,NA,NA
1,"courier","courier","courier",NA,NA,NA,NA
2,"court clerk","court clerk","court","clerk",NA,NA,NA
2,"court reporter","court report","court","report",NA,NA,NA
2,"courtesy clerk","courtesi clerk","courtesi","clerk",NA,NA,NA
1,"cook","cook","cook",NA,NA,NA,NA
1,"cpa","cpa","cpa",NA,NA,NA,NA
2,"corporate responsibility","corpor respons","corpor","respons",NA,NA,NA
2,"crane operator","crane oper","crane","oper",NA,NA,NA
1,"creative","creativ","creativ",NA,NA,NA,NA
2,"creative designer","creativ design","creativ","design",NA,NA,NA
2,"creative director","creativ director","creativ","director",NA,NA,NA
2,"creative intern","creativ intern","creativ","intern",NA,NA,NA
2,"creative manager","creativ manag","creativ","manag",NA,NA,NA
2,"creative producer","creativ produc","creativ","produc",NA,NA,NA
1,"creator","creator","creator",NA,NA,NA,NA
2,"credit analyst","credit analyst","credit","analyst",NA,NA,NA
2,"credit controller","credit control","credit","control",NA,NA,NA
2,"credit manager","credit manag","credit","manag",NA,NA,NA
2,"credit officer","credit offic","credit","offic",NA,NA,NA
3,"credit risk analyst","credit risk analyst","credit","risk","analyst",NA,NA
2,"credit specialist","credit specialist","credit","specialist",NA,NA,NA
2,"creditors clerk","creditor clerk","creditor","clerk",NA,NA,NA
1,"crew","crew","crew",NA,NA,NA,NA
2,"crew chief","crew chief","crew","chief",NA,NA,NA
2,"crew leader","crew leader","crew","leader",NA,NA,NA
2,"crew manager","crew manag","crew","manag",NA,NA,NA
2,"crew member","crew member","crew","member",NA,NA,NA
2,"crew trainer","crew trainer","crew","trainer",NA,NA,NA
4,"critical care registered nurse","critic care regist nurs","critic","care","regist","nurs",NA
3,"critical care rn","critic care rn","critic","care","rn",NA,NA
1,"croupier","croupier","croupier",NA,NA,NA,NA
2,"computer science","comput scienc","comput","scienc",NA,NA,NA
1,"csa","csa","csa",NA,NA,NA,NA
1,"csr","csr","csr",NA,NA,NA,NA
1,"css","css","css",NA,NA,NA,NA
1,"cto","cto","cto",NA,NA,NA,NA
1,"cook","cook","cook",NA,NA,NA,NA
1,"cook","cook","cook",NA,NA,NA,NA
1,"curator","curat","curat",NA,NA,NA,NA
1,"custodian","custodian","custodian",NA,NA,NA,NA
3,"customer account manager","custom account manag","custom","account","manag",NA,NA
2,"customer advisor","custom advisor","custom","advisor",NA,NA,NA
2,"customer assistant","custom assist","custom","assist",NA,NA,NA
2,"customer care","custom care","custom","care",NA,NA,NA
3,"customer care agent","custom care agent","custom","care","agent",NA,NA
3,"customer care executive","custom care execut","custom","care","execut",NA,NA
3,"customer care manager","custom care manag","custom","care","manag",NA,NA
3,"customer care officer","custom care offic","custom","care","offic",NA,NA
3,"customer care representative","custom care repres","custom","care","repres",NA,NA
3,"customer care specialist","custom care specialist","custom","care","specialist",NA,NA
3,"customer care supervisor","custom care supervisor","custom","care","supervisor",NA,NA
2,"customer consultant","custom consult","custom","consult",NA,NA,NA
2,"customer engineer","custom engin","custom","engin",NA,NA,NA
3,"customer experience manager","custom experi manag","custom","experi","manag",NA,NA
2,"customer manager","custom manag","custom","manag",NA,NA,NA
2,"customer relations","custom relat","custom","relat",NA,NA,NA
3,"customer relations manager","custom relat manag","custom","relat","manag",NA,NA
3,"customer relations manager","custom relat manag","custom","relat","manag",NA,NA
3,"customer sales representative","custom sale repres","custom","sale","repres",NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
3,"customer service administrator","custom servic administr","custom","servic","administr",NA,NA
3,"customer service advisor","custom servic advisor","custom","servic","advisor",NA,NA
3,"customer service agent","custom servic agent","custom","servic","agent",NA,NA
5,"customer service and sales representative","custom servic and sale repres","custom","servic","sale","repres",NA
3,"customer service assistant","custom servic assist","custom","servic","assist",NA,NA
3,"customer service associate","custom servic associ","custom","servic","associ",NA,NA
3,"customer service cashier","custom servic cashier","custom","servic","cashier",NA,NA
3,"customer service clerk","custom servic clerk","custom","servic","clerk",NA,NA
3,"customer service consultant","custom servic consult","custom","servic","consult",NA,NA
3,"customer service coordinator","custom servic coordin","custom","servic","coordin",NA,NA
3,"customer service engineer","custom servic engin","custom","servic","engin",NA,NA
3,"customer service executive","custom servic execut","custom","servic","execut",NA,NA
3,"customer service manager","custom servic manag","custom","servic","manag",NA,NA
3,"customer service officer","custom servic offic","custom","servic","offic",NA,NA
3,"customer service professional","custom servic profession","custom","servic","profession",NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
3,"customer service representative","custom servic repres","custom","servic","repres",NA,NA
3,"customer service specialist","custom servic specialist","custom","servic","specialist",NA,NA
3,"customer service supervisor","custom servic supervisor","custom","servic","supervisor",NA,NA
4,"customer service team leader","custom servic team leader","custom","servic","team","leader",NA
4,"customer service team leader","custom servic team leader","custom","servic","team","leader",NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
3,"customer success manager","custom success manag","custom","success","manag",NA,NA
2,"customer support","custom support","custom","support",NA,NA,NA
3,"customer support engineer","custom support engin","custom","support","engin",NA,NA
3,"customer support executive","custom support execut","custom","support","execut",NA,NA
3,"customer support manager","custom support manag","custom","support","manag",NA,NA
3,"customer support specialist","custom support specialist","custom","support","specialist",NA,NA
1,"daf","daf","daf",NA,NA,NA,NA
1,"ceo","ceo","ceo",NA,NA,NA,NA
2,"dance instructor","danc instructor","danc","instructor",NA,NA,NA
2,"dance teacher","danc teacher","danc","teacher",NA,NA,NA
1,"dancer","dancer","dancer",NA,NA,NA,NA
2,"administrator date","administr date","administr","date",NA,NA,NA
2,"data analyst","data analyst","data","analyst",NA,NA,NA
2,"data architect","data architect","data","architect",NA,NA,NA
2,"data engineer","data engin","data","engin",NA,NA,NA
2,"data entry","data entri","data","entri",NA,NA,NA
3,"data entry clerk","data entri clerk","data","entri","clerk",NA,NA
3,"data entry operator","data entri oper","data","entri","oper",NA,NA
3,"data entry specialist","data entri specialist","data","entri","specialist",NA,NA
2,"data manager","data manag","data","manag",NA,NA,NA
2,"data processor","data processor","data","processor",NA,NA,NA
2,"data scientist","data scientist","data","scientist",NA,NA,NA
2,"data specialist","data specialist","data","specialist",NA,NA,NA
2,"database administrator","databas administr","databas","administr",NA,NA,NA
2,"database analyst","databas analyst","databas","analyst",NA,NA,NA
2,"database developer","databas develop","databas","develop",NA,NA,NA
2,"database manager","databas manag","databas","manag",NA,NA,NA
2,"daycare provider","daycar provid","daycar","provid",NA,NA,NA
1,"dba","dba","dba",NA,NA,NA,NA
1,"dealer","dealer","dealer",NA,NA,NA,NA
1,"dean","dean","dean",NA,NA,NA,NA
3,"dean of students","dean of student","dean","student",NA,NA,NA
2,"debt collector","debt collector","debt","collector",NA,NA,NA
1,"deckhand","deckhand","deckhand",NA,NA,NA,NA
1,"decorator","decor","decor",NA,NA,NA,NA
1,"delegate","deleg","deleg",NA,NA,NA,NA
2,"business delegate","busi deleg","busi","deleg",NA,NA,NA
1,"delegate","deleg","deleg",NA,NA,NA,NA
2,"deli clerk","deli clerk","deli","clerk",NA,NA,NA
1,"draftsman","draftsman","draftsman",NA,NA,NA,NA
1,"delivery","deliveri","deliveri",NA,NA,NA,NA
2,"delivery driver","deliveri driver","deliveri","driver",NA,NA,NA
2,"delivery manager","deliveri manag","deliveri","manag",NA,NA,NA
2,"demand planner","demand planner","demand","planner",NA,NA,NA
2,"vice chief","vice chief","vice","chief",NA,NA,NA
3,"chef de partie","chef de parti","chef","de","parti",NA,NA
1,"demonstrator","demonstr","demonstr",NA,NA,NA,NA
2,"dental assistant","dental assist","dental","assist",NA,NA,NA
2,"dental hygienist","dental hygienist","dental","hygienist",NA,NA,NA
2,"dental nurse","dental nurs","dental","nurs",NA,NA,NA
2,"dental surgeon","dental surgeon","dental","surgeon",NA,NA,NA
2,"dental technician","dental technician","dental","technician",NA,NA,NA
1,"dentist","dentist","dentist",NA,NA,NA,NA
1,"dentist","dentist","dentist",NA,NA,NA,NA
1,"deo","deo","deo",NA,NA,NA,NA
2,"commercial department","commerci depart","commerci","depart",NA,NA,NA
2,"department head","depart head","depart","head",NA,NA,NA
2,"department manager","depart manag","depart","manag",NA,NA,NA
2,"department supervisor","depart supervisor","depart","supervisor",NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
2,"depot manager","depot manag","depot","manag",NA,NA,NA
1,"deputy","deputi","deputi",NA,NA,NA,NA
2,"deputy director","deputi director","deputi","director",NA,NA,NA
2,"deputy editor","deputi editor","deputi","editor",NA,NA,NA
3,"deputy general manager","deputi general manag","deputi","general","manag",NA,NA
2,"deputy manager","deputi manag","deputi","manag",NA,NA,NA
3,"deputy managing director","deputi manag director","deputi","manag","director",NA,NA
2,"deputy principal","deputi princip","deputi","princip",NA,NA,NA
3,"deputy project manager","deputi project manag","deputi","project","manag",NA,NA
2,"deputy sheriff","deputi sheriff","deputi","sheriff",NA,NA,NA
1,"developer","develop","develop",NA,NA,NA,NA
2,"software developer","softwar develop","softwar","develop",NA,NA,NA
2,"web developer","web develop","web","develop",NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
2,"graphic designer","graphic design","graphic","design",NA,NA,NA
1,"developer","develop","develop",NA,NA,NA,NA
2,"web developer","web develop","web","develop",NA,NA,NA
1,"design","design","design",NA,NA,NA,NA
2,"design assistant","design assist","design","assist",NA,NA,NA
2,"design associate","design associ","design","associ",NA,NA,NA
2,"design consultant","design consult","design","consult",NA,NA,NA
2,"design director","design director","design","director",NA,NA,NA
2,"design engineer","design engin","design","engin",NA,NA,NA
2,"intern design","intern design","intern","design",NA,NA,NA
2,"design manager","design manag","design","manag",NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
2,"graphic designer","graphic design","graphic","design",NA,NA,NA
2,"graphic designer","graphic design","graphic","design",NA,NA,NA
2,"desktop engineer","desktop engin","desktop","engin",NA,NA,NA
2,"desktop support","desktop support","desktop","support",NA,NA,NA
3,"desktop support analyst","desktop support analyst","desktop","support","analyst",NA,NA
3,"desktop support engineer","desktop support engin","desktop","support","engin",NA,NA
3,"desktop support technician","desktop support technician","desktop","support","technician",NA,NA
2,"desktop technician","desktop technician","desktop","technician",NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
1,"draftsman","draftsman","draftsman",NA,NA,NA,NA
1,"details","detail","detail",NA,NA,NA,NA
1,"detective","detect","detect",NA,NA,NA,NA
1,"developer","develop","develop",NA,NA,NA,NA
2,"development assistant","develop assist","develop","assist",NA,NA,NA
2,"development associate","develop associ","develop","associ",NA,NA,NA
2,"development consultant","develop consult","develop","consult",NA,NA,NA
2,"development coordinator","develop coordin","develop","coordin",NA,NA,NA
2,"development director","develop director","develop","director",NA,NA,NA
2,"development engineer","develop engin","develop","engin",NA,NA,NA
2,"development intern","develop intern","develop","intern",NA,NA,NA
2,"development manager","develop manag","develop","manag",NA,NA,NA
2,"development officer","develop offic","develop","offic",NA,NA,NA
2,"development specialist","develop specialist","develop","specialist",NA,NA,NA
1,"developer","develop","develop",NA,NA,NA,NA
2,"software developer","softwar develop","softwar","develop",NA,NA,NA
2,"mainframe developer","mainfram develop","mainfram","develop",NA,NA,NA
2,"web developer","web develop","web","develop",NA,NA,NA
2,"devops engineer","devop engin","devop","engin",NA,NA,NA
1,"dg","dg","dg",NA,NA,NA,NA
1,"dg","dg","dg",NA,NA,NA,NA
1,"dg","dg","dg",NA,NA,NA,NA
2,"diesel mechanic","diesel mechan","diesel","mechan",NA,NA,NA
2,"dietary aide","dietari aid","dietari","aid",NA,NA,NA
2,"intern dietary","intern dietari","intern","dietari",NA,NA,NA
1,"dietitian","dietitian","dietitian",NA,NA,NA,NA
1,"typist","typist","typist",NA,NA,NA,NA
1,"typist","typist","typist",NA,NA,NA,NA
3,"digital account manager","digit account manag","digit","account","manag",NA,NA
2,"digital composer","digit compos","digit","compos",NA,NA,NA
3,"digital marketing consultant","digit market consult","digit","market","consult",NA,NA
3,"digital marketing executive","digit market execut","digit","market","execut",NA,NA
3,"digital marketing intern","digit market intern","digit","market","intern",NA,NA
3,"digital marketing manager","digit market manag","digit","market","manag",NA,NA
3,"digital marketing specialist","digit market specialist","digit","market","specialist",NA,NA
1,"employee","employe","employe",NA,NA,NA,NA
1,"address","address","address",NA,NA,NA,NA
1,"address","address","address",NA,NA,NA,NA
3,"direct support professional","direct support profession","direct","support","profession",NA,NA
1,"director","director","director",NA,NA,NA,NA
2,"deputy director","deputi director","deputi","director",NA,NA,NA
2,"artistic director","artist director","artist","director",NA,NA,NA
2,"commercial director","commerci director","commerci","director",NA,NA,NA
2,"agency director","agenc director","agenc","director",NA,NA,NA
2,"store manager","store manag","store","manag",NA,NA,NA
2,"production director","product director","product","director",NA,NA,NA
2,"project director","project director","project","director",NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"general manager","general manag","general","manag",NA,NA,NA
2,"general manager","general manag","general","manag",NA,NA,NA
2,"regional director","region director","region","director",NA,NA,NA
2,"regional director","region director","region","director",NA,NA,NA
2,"technical director","technic director","technic","director",NA,NA,NA
2,"executive secretary","execut secretari","execut","secretari",NA,NA,NA
2,"directional driller","direct driller","direct","driller",NA,NA,NA
1,"director","director","director",NA,NA,NA,NA
3,"director and editor","director and editor","director","editor",NA,NA,NA
3,"director and owner","director and owner","director","owner",NA,NA,NA
2,"administrative director","administr director","administr","director",NA,NA,NA
3,"director and owner","director and owner","director","owner",NA,NA,NA
3,"director business development","director busi develop","director","busi","develop",NA,NA
3,"director client services","director client servic","director","client","servic",NA,NA
2,"commercial director","commerci director","commerci","director",NA,NA,NA
2,"creative director","creativ director","creativ","director",NA,NA,NA
2,"art director","art director","art","director",NA,NA,NA
3,"director of operations","director of oper","director","oper",NA,NA,NA
2,"project director","project director","project","director",NA,NA,NA
2,"project director","project director","project","director",NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"executive director","execut director","execut","director",NA,NA,NA
1,"cfo","cfo","cfo",NA,NA,NA,NA
2,"director general","director general","director","general",NA,NA,NA
2,"managing director","manag director","manag","director",NA,NA,NA
3,"director human resources","director human resourc","director","human","resourc",NA,NA
3,"director of marketing","director of market","director","market",NA,NA,NA
3,"director of accounting","director of account","director","account",NA,NA,NA
3,"director of admissions","director of admiss","director","admiss",NA,NA,NA
4,"director of business development","director of busi develop","director","busi","develop",NA,NA
4,"director of client services","director of client servic","director","client","servic",NA,NA
3,"director of communications","director of communic","director","communic",NA,NA,NA
3,"director of development","director of develop","director","develop",NA,NA,NA
3,"director of education","director of educ","director","educ",NA,NA,NA
3,"director of engineering","director of engin","director","engin",NA,NA,NA
3,"director of finance","director of financ","director","financ",NA,NA,NA
5,"director of finance and administration","director of financ and administr","director","financ","administr",NA,NA
5,"director of food and beverage","director of food and beverag","director","food","beverag",NA,NA
2,"hr director","hr director","hr","director",NA,NA,NA
