to,n,from
senior advisor,2,consultor senior
technical advisor,2,consultor técnico
consultant,1,consultora
business consultant,2,consultora comercial
human resources consulting,2,consultora de rh
sales consultant,2,consultora de vendas
real estate consultant,3,consultora imobiliária
accountant,1,contabil
accounting,1,contabilidade
accountant,1,contabilista
accountant,1,contable
counter,1,contador
general counter,2,contador general
certified public accountant,3,contador publico
counter,1,contadora
content developer,2,content developer
content editor,2,content editor
content manager,2,content manager
content producer,2,content producer
content writer,2,content writer
continuous improvement manager,3,continuous improvement manager
contract administrator,2,contract administrator
contract attorney,2,contract attorney
contracts manager,2,contract manager
contract recruiter,2,contract recruiter
contract software engineer,3,contract software engineer
contract specialist,2,contract specialist
contracting officer,2,contracting officer
contractor,1,contractor
contracts administrator,2,contracts administrator
contracts manager,2,contracts manager
comptroller,1,contralor
contractor,1,contratista
contributing writer,2,contributing writer
contributor,1,contributor
quality control,1,control de calidad
control room operator,3,control room operator
controller,1,contrôleur
management control,2,controleur de gestion
management control,2,contrôleur de gestion
controller,1,controller
controls engineer,2,controls engineer
coo,1,coo
cook,1,cook
coordinator,1,coordenador
administrative coordinator,2,coordenador administrativo
commercial coordinator,2,coordenador comercial
logistics coordinator,2,coordenador de logística
production coordinator,2,coordenador de produção
project coordinator,2,coordenador de projetos
sales coordinator,2,coordenador de vendas
coordinator,1,coordenadora
coordinator,1,coordinador
administrative coordinator,2,coordinador administrativo
operations coordinator,2,coordinador de operaciones
project coordinator,2,coordinador de proyecto
project coordinator,2,coordinador de proyectos
hr coordinator,2,coordinador de recursos humanos
coordinator,1,coordinadora
coordinator,1,coordinator
copy editor,2,copy editor
copywriter,1,copywriter
copywriting intern,2,copywriting intern
corporal,1,corporal
corporate account manager,3,corporate account manager
corporate accountant,2,corporate accountant
corporate communications manager,3,corporate communications manager
corporate controller,2,corporate controller
corporate counsel,2,corporate counsel
corporate recruiter,2,corporate recruiter
corporate sales,2,corporate sales
corporate sales manager,3,corporate sales manager
corporate secretary,2,corporate secretary
corporate trainer,2,corporate trainer
corps member,2,corps member
correctional officer,2,correctional officer
correctional officer,2,corrections officer
correspondent,1,correspondent
broker,1,corretor
realtor,1,corretor de imoveis
realtor,1,corretor de imóveis
real estate broker,3,corretor imobiliário
broker,1,corretora
realtor,1,corretora de imóveis
cosmetologist,1,cosmetologist
cost accountant,2,cost accountant
cost analyst,2,cost analyst
cost controller,2,cost controller
cost engineer,2,cost engineer
costume designer,2,costume designer
customer service,2,costumer service
council member,2,council member
councillor,1,councillor
counsel,1,counsel
counseling intern,2,counseling intern
counselor,1,counsellor
counselor,1,counselor
country manager,2,counter manager
country manager,2,country manager
courier,1,courier
court clerk,2,court clerk
court reporter,2,court reporter
courtesy clerk,2,courtesy clerk
cook,1,cozinheira
cpa,1,cpa
corporate responsibility,1,cr
crane operator,2,crane operator
creative,1,creative
creative designer,2,creative designer
creative director,2,creative director
creative intern,2,creative intern
creative manager,2,creative manager
creative producer,2,creative producer
creator,1,creator
credit analyst,2,credit analyst
credit controller,2,credit controller
credit manager,2,credit manager
credit officer,2,credit officer
credit risk analyst,3,credit risk analyst
credit specialist,2,credit specialist
creditors clerk,2,creditors clerk
crew,1,crew
crew chief,2,crew chief
crew leader,2,crew leader
crew manager,2,crew manager
crew member,2,crew member
crew trainer,2,crew trainer
critical care registered nurse,4,critical care registered nurse
critical care rn,3,critical care rn
croupier,1,croupier
computer science,1,cs
csa,1,csa
csr,1,csr
css,1,css
cto,1,cto
cook,1,cuisinier
cook,1,cuoco
curator,1,curator
custodian,1,custodian
customer account manager,3,customer account manager
customer advisor,2,customer advisor
customer assistant,2,customer assistant
customer care,2,customer care
customer care agent,3,customer care agent
customer care executive,3,customer care executive
customer care manager,3,customer care manager
customer care officer,3,customer care officer
customer care representative,3,customer care representative
customer care specialist,3,customer care specialist
customer care supervisor,3,customer care supervisor
customer consultant,2,customer consultant
customer engineer,2,customer engineer
customer experience manager,3,customer experience manager
customer manager,2,customer manager
customer relations,2,customer relations
customer relations manager,3,customer relations manager
customer relations manager,3,customer relationship manager
customer sales representative,3,customer sales representative
customer service,2,customer service
customer service administrator,3,customer service administrator
customer service advisor,3,customer service advisor
customer service agent,3,customer service agent
customer service and sales representative,5,customer service and sales representative
customer service assistant,3,customer service assistant
customer service associate,3,customer service associate
customer service cashier,3,customer service cashier
customer service clerk,3,customer service clerk
customer service consultant,3,customer service consultant
customer service coordinator,3,customer service coordinator
customer service engineer,3,customer service engineer
customer service executive,3,customer service executive
customer service manager,3,customer service manager
customer service officer,3,customer service officer
customer service professional,3,customer service professional
customer service,2,customer service rep
customer service,2,customer service rep.
customer service representative,3,customer service representative
customer service specialist,3,customer service specialist
customer service supervisor,3,customer service supervisor
customer service team leader,4,customer service team lead
customer service team leader,4,customer service team leader
customer service,2,customer services
customer success manager,3,customer success manager
customer support,2,customer support
customer support engineer,3,customer support engineer
customer support executive,3,customer support executive
customer support manager,3,customer support manager
customer support specialist,3,customer support specialist
daf,1,daf
ceo,1,daglig leder
dance instructor,2,dance instructor
dance teacher,2,dance teacher
dancer,1,dancer
administrator date,2,data administrator
data analyst,2,data analyst
data architect,2,data architect
data engineer,2,data engineer
data entry,2,data entry
data entry clerk,3,data entry clerk
data entry operator,3,data entry operator
data entry specialist,3,data entry specialist
data manager,2,data manager
data processor,2,data processor
data scientist,2,data scientist
data specialist,2,data specialist
database administrator,2,database administrator
database analyst,2,database analyst
database developer,2,database developer
database manager,2,database manager
daycare provider,2,daycare provider
dba,1,dba
dealer,1,dealer
dean,1,dean
dean of students,3,dean of students
debt collector,2,debt collector
deckhand,1,deckhand
decorator,1,decorator
delegate,1,delegado
business delegate,2,delegado comercial
delegate,1,delegate
deli clerk,2,deli clerk
draftsman,1,delineante
delivery,1,delivery
delivery driver,2,delivery driver
delivery manager,2,delivery manager
demand planner,2,demand planner
vice chief,2,demi chef
chef de partie,3,demi chef de partie
demonstrator,1,demonstrator
dental assistant,2,dental assistant
dental hygienist,2,dental hygienist
dental nurse,2,dental nurse
dental surgeon,2,dental surgeon
dental technician,2,dental technician
dentist,1,dentist
dentist,1,dentista
deo,1,deo
commercial department,2,departamento comercial
department head,2,department head
department manager,2,department manager
department supervisor,2,department supervisor
salesman,1,dependienta
salesman,1,dependiente
depot manager,2,depot manager
deputy,1,deputy
deputy director,2,deputy director
deputy editor,2,deputy editor
deputy general manager,3,deputy general manager
deputy manager,2,deputy manager
deputy managing director,3,deputy managing director
deputy principal,2,deputy principal
deputy project manager,3,deputy project manager
deputy sheriff,2,deputy sheriff
developer,1,desarrollador
software developer,2,desarrollador de software
web developer,2,desarrollador web
unemployed,1,desempleado
unemployed,1,desempregada
unemployed,1,desempregado
designer,1,desenhista
graphic designer,2,desenhista projetista
developer,1,desenvolvedor
web developer,2,desenvolvedor web
design,1,design
design assistant,2,design assistant
design associate,2,design associate
design consultant,2,design consultant
design director,2,design director
design engineer,2,design engineer
intern design,2,design intern
design manager,2,design manager
designer,1,designer
graphic designer,2,designer gráfico
graphic designer,2,designer graphique
desktop engineer,2,desktop engineer
desktop support,2,desktop support
desktop support analyst,3,desktop support analyst
desktop support engineer,3,desktop support engineer
desktop support technician,3,desktop support technician
desktop technician,2,desktop technician
designer,1,dessinateur
draftsman,1,dessinateur projeteur
details,1,detailer
detective,1,detective
developer,1,developer
development assistant,2,development assistant
development associate,2,development associate
development consultant,2,development consultant
development coordinator,2,development coordinator
development director,2,development director
development engineer,2,development engineer
development intern,2,development intern
development manager,2,development manager
development officer,2,development officer
development specialist,2,development specialist
developer,1,développeur
software developer,2,développeur logiciels
mainframe developer,2,développeur mainframe
web developer,2,développeur web
devops engineer,2,devops engineer
dg,1,dg
dg,1,dga
dg,1,dgm
diesel mechanic,2,diesel mechanic
dietary aide,2,dietary aide
intern dietary,2,dietetic intern
dietitian,1,dietitian
typist,1,digitador
typist,1,digitadora
digital account manager,3,digital account manager
digital composer,2,digital compositor
digital marketing consultant,3,digital marketing consultant
digital marketing executive,3,digital marketing executive
digital marketing intern,3,digital marketing intern
digital marketing manager,3,digital marketing manager
digital marketing specialist,3,digital marketing specialist
employee,1,dipendente
address,1,direccion
address,1,dirección
direct support professional,3,direct support professional
director,1,directeur
deputy director,2,directeur adjoint
artistic director,2,directeur artistique
commercial director,2,directeur commercial
agency director,2,directeur d'agence
store manager,2,directeur de magasin
production director,2,directeur de production
project director,2,directeur de projet
sales manager,2,directeur des ventes
general manager,2,directeur general
general manager,2,directeur général
regional director,2,directeur regional
regional director,2,directeur régional
technical director,2,directeur technique
executive secretary,2,directiesecretaresse
directional driller,2,directional driller
director,1,director
director and editor,3,director- video editor
director and owner,3,director  and  owner
administrative director,2,director administrativo
director and owner,3,director and owner
director business development,3,director business development
director client services,3,director client services
commercial director,2,director comercial
creative director,2,director creativo
art director,2,director de arte
director of operations,3,director de operaciones
project director,2,director de proyecto
project director,2,director de proyectos
sales manager,2,director de ventas
executive director,2,director ejecutivo
cfo,1,director financiero
director general,2,director general
managing director,2,director gerente
director human resources,3,director human resources
director of marketing,3,director marketing
director of accounting,3,director of accounting
director of admissions,3,director of admissions
director of business development,4,director of business development
director of client services,4,director of client services
director of communications,3,director of communications
director of development,3,director of development
director of education,3,director of education
director of engineering,3,director of engineering
director of finance,3,director of finance
director of finance and administration,5,director of finance and administration
director of food and beverage,5,director of food and beverage
hr director,3,director of hr
director of human resources,4,director of human resources
director of information technology,4,director of information technology
it director,3,director of it
director of maintenance,3,director of maintenance
director of manufacturing,3,director of manufacturing
director of marketing,3,director of marketing
director of marketing and sales,5,director of marketing and sales
director of nursing,3,director of nursing
director of operations,3,director of operations
director of photography,3,director of photography
director of purchasing,3,director of purchasing
director of quality,3,director of quality
director of research,3,director of research
director of sales,3,director of sales
director of sales and marketing,5,director of sales  and  marketing
director of sales and marketing,5,director of sales and marketing
director of security,3,director of security
director of technology,3,director of technology
director operations,2,director operations
director product management,3,director product management
technical director,2,director técnico
director,1,directora
commercial director,2,directora comercial
ceo,1,directora general
headmistress,1,directrice
assistant director,2,directrice adjointe
executive director,2,directrice générale
director,1,direktor
director,1,direktør
director,1,direktur
director,1,diretor
administrative director,2,diretor administrativo
commercial director,2,diretor comercial
art director,2,diretor de arte
ceo,1,diretor executivo
director general,2,diretor geral
technical director,2,diretor técnico
director,1,diretora
director,1,direttore
commercial director,2,direttore commerciale
general manager,2,direttore generale
technical director,2,direttore tecnico
leader,1,dirigeant
leader,1,dirigente
media manager,2,dirigente medico
disabled,1,disabled
technical designer,2,disegnatore tecnico
designer,1,diseñador
graphic designer,2,diseñador grafico
graphic designer,2,diseñador gráfico
industrial designer,2,diseñador industrial
designer,1,diseñadora
graphic designer,2,diseñadora gráfica
dishwasher,1,dishwasher
dispatcher,1,dispatch
dispatcher,1,dispatcher
distribution manager,2,distribution manager
distribution supervisor,2,distribution supervisor
distributor,1,distributor
district manager,2,district manager
district sales manager,3,district sales manager
division director,2,division director
division manager,2,division manager
divisional manager,2,divisional manager
dj,1,dj
dm,1,dm
teaching,1,docencia
teacher,1,docent
teacher,1,docente
teaching researcher,2,docente investigador
university teacher,2,docente universitario
doctor in dental surgery,4,docteur en chirurgie dentaire
doctor,1,doctor
doctor of chiropractic,3,doctor of chiropractic
doctoral candidate,2,doctoral candidate
doctoral student,2,doctoral student
phd student,2,doctorant
document controller,2,document controller
document specialist,2,document specialist
documentation officer,2,documentation officer
dog groomer,2,dog groomer
doctor,1,doktor
domestic engineer,2,domestic engineer
lecturer,1,dosen
chartered accountant,2,dottore commercialista
lecturer,1,dozent
professor,1,dozentin
dr.,1,dr
dr.,1,dr.
drafter,1,drafter
draftsman,1,draftsman
draftsperson,1,draftsperson
drama teacher,2,drama teacher
draughtsman,1,draughtsman
driller,1,driller
drilling engineer,2,drilling engineer
drilling supervisor,2,drilling supervisor
driver,1,driver
driver helper,2,driver helper
driving instructor,2,driving instructor
drs,1,drs
drummer,1,drummer
dsm,1,dsm
dsp,1,dsp
owner,1,dueña
owner,1,dueño
duty manager,2,duty manager
duty manager,2,dy manager
duty manager,2,dy.manager
director,1,dyrektor
e-commerce manager,2,e-commerce manager
executive assistant,1,ea
early childhood educator,3,early childhood educator
economist,1,economist
economist,1,economista
emergency department,1,ed
editor,1,editor
editor-in-chief,1,editor-in-chief
lead editor,3,editor in chief
editorial assistant,2,editorial assistant
clerk intern,2,editorial intern
educator,1,educador
social professor,2,educador social
educator,1,educadora
social professor,2,educadora social
education,1,education
education consultant,2,education consultant
education coordinator,2,education coordinator
education director,2,education director
education officer,2,education officer
education specialist,2,education specialist
educational assistant,2,educational assistant
educational consultant,2,educational consultant
educator,1,educator
educator,1,educatrice
special education teacher,3,éducatrice spécialisée
electrical and electronics,1,ee
teacher,2,efl teacher
self employed,2,egen företagare
house manager,2,ehs manager
owner,1,eigenaar
editor-in-chief,1,eindredacteur
business executive,2,ejecutiva comercial
sales executive,2,ejecutiva de cuenta
sales executive,2,ejecutiva de cuentas
sales executive,2,ejecutiva de ventas
executive,1,ejecutivo
business executive,2,ejecutivo comercial
sales executive,2,ejecutivo de cuenta
sales executive,2,ejecutivo de cuentas
sales executive,2,ejecutivo de ventas
ekonomiassistent,1,ekonomiassistent
cfo,1,ekonomichef
electrical,1,electrical
electrical apprentice,2,electrical apprentice
electrical design engineer,3,electrical design engineer
electrical designer,2,electrical designer
electrical engineer,2,electrical engineer
electrical engineering intern,3,electrical engineering intern
electrical foreman,2,electrical foreman
electrical project engineer,3,electrical project engineer
electrical superintendent,2,electrical superintendent
electrical supervisor,2,electrical supervisor
electrical technician,2,electrical technician
electrician,1,electrician
electrical technician,2,electricista
electronic engineer,2,electronic engineer
electronic technician,2,electronic technician
electronic engineer,2,electronics engineer
electronic technician,2,electronics technician
electrician,1,elektriker
elementary school teacher,3,elementary school teacher
elementary teacher,2,elementary teacher
electrician,1,eletricista
maintenance electrician,2,eletricista de manutenção
electrician,1,elettricista
student,1,elev
embedded software engineer,3,embedded software engineer
retired,1,emekli
emergency medical technician,3,emergency medical technician
emergency physician,2,emergency physician
emergency room rn,3,emergency room rn
employee,1,empleada
employee,1,empleado
employee in practices,3,empleado en prácticas
employee,1,employé
commercial employee,2,employé commercial
employed,1,employed
employee,1,employee
employee,1,employée
employer,1,employer
employment consultant,2,employment consultant
employment specialist,2,employment specialist
company,1,empresa
businessman,1,empresaria
businessman,1,empresária
businessman,1,empresario
businessman,1,empresário
emt,1,emt
emt,1,emt-b
responsible,1,encargada
production leader,4,encargada de producion
manager,2,encargado
purchasing agent,2,encargado de compras
manager,2,encarregado
energy consultant,2,energy consultant
nurse,1,enfermeira
nurse,1,enfermeiro
nurse,1,enfermera
nurse,1,enfermero
engineer,1,eng
engagement manager,2,engagement manager
civil engineer,2,engenheira civil
engineer,1,engenheiro
civil engineer,2,engenheiro civil
mechanical engineer,2,engenheiro mecânico
engineer,1,engineer
engineer in training,3,engineer in training
engineer intern,2,engineer intern
engineer trainee,2,engineer trainee
engineering,1,engineering
engineering assistant,2,engineering assistant
engineering co-op,2,engineering co-op
engineering consultant,2,engineering consultant
engineering director,2,engineering director
engineering intern,2,engineering intern
engineering manager,2,engineering manager
engineering supervisor,2,engineering supervisor
engineering technician,2,engineering technician
engineering trainee,2,engineering trainee
english instructor,2,english instructor
english language instructor,3,english language instructor
english language teacher,3,english language teacher
english teacher,2,english teacher
english teaching assistant,3,english teaching assistant
english tutor,2,english tutor
unit,1,enhetschef
teacher,1,enseignant
teacher researcher,2,enseignant chercheur
teacher,1,enseignante
enterprise account manager,3,enterprise account manager
enterprise architect,2,enterprise architect
entertainer,1,entertainer
coach,1,entrenador
entrepreneur,1,entrepreneur
enumerator,1,enumerator
environmental consultant,2,environmental consultant
environmental engineer,2,environmental engineer
environmental health officer,3,environmental health officer
environmental officer,2,environmental officer
environmental scientist,2,environmental scientist
environmental specialist,2,environmental specialist
enterprise portal,1,ep
epidemiologist,1,epidemiologist
equipment engineer,2,equipment engineer
equipment manager,2,equipment manager
equipment operator,2,equipment operator
equity analyst,2,equity analyst
hr consultant,2,erp consultant
escrow officer,2,escrow officer
esl instructor,2,esl instructor
esl teacher,2,esl teacher
specialist,1,especialista
intern,1,estagiaria
intern,1,estagiária
intern,1,estágiaria
intern,1,estagiario
intern,1,estagiário
intern,1,estágiario
civil engineering intern,3,estagiário de engenharia
civil engineering intern,3,estagiário de engenharia civil
internship,1,estagio
internship,1,estágio
estate agent,2,estate agent
beautician,1,esteticista
beautician,1,estetista
esthetician,1,esthetician
stylist,1,estilista
estimator,1,estimator
estimator  and  project manager,6,estimator  and  project manager
estimator and project manager,4,estimator and project manager
stockist,1,estoquista
student,1,estudante
student,1,estudiante
student intern,2,estudiante en prácticas
etl developer,2,etl developer
student,1,etudiant
student,1,étudiant
student,1,etudiante
student,1,étudiante
event assistant,2,event assistant
event coordinator,2,event coordinator
event manager,2,event manager
event organizer,2,event organizer
event planner,2,event planner
event specialist,2,event specialist
event staff,2,event staff
event coordinator,2,events coordinator
event manager,2,events manager
evp,1,evp
account executive,2,executiva de contas
executive,1,executive
executive administrative assistant,3,executive administrative assistant
executive administrator,2,executive administrator
executive assistant,2,executive assistant
executive assistant and office manager,5,executive assistant and office manager
executive assistant manager,3,executive assistant manager
executive assistant to ceo,4,executive assistant to ceo
executive assistant to the president,5,executive assistant to the president
executive board member,3,executive board member
executive chef,2,executive chef
executive coach,2,executive coach
executive consultant,2,executive consultant
executive coordinator,2,executive coordinator
executive director,2,executive director
executive editor,2,executive editor
executive engineer,2,executive engineer
executive housekeeper,2,executive housekeeper
executive manager,2,executive manager
executive officer,2,executive officer
executive,2,executive pa
executive personal assistant,3,executive personal assistant
executive producer,2,executive producer
executive recruiter,2,executive recruiter
executive sales,2,executive sales
executive sales representative,3,executive sales representative
executive secretary,2,executive secretary
executive sous chef,3,executive sous chef
executive team leader,3,executive team leader
executive vice president,3,executive vice president
account executive,2,executivo de contas
sales executive,2,executivo de vendas
exhibiting artist,2,exhibiting artist
expediter,1,expediter
sender,1,expeditor
expert,1,expert
exploration geologist,2,exploration geologist
export area manager,3,export area manager
export coordinator,2,export coordinator
export manager,2,export manager
export sales manager,3,export sales manager
external,1,extern
external auditor,2,external auditor
food and beverage manager,4,f and b manager
failure analysis,1,fa
fabricator,1,fabricator
facilitator,1,facilitator
facilities assistant,2,facilities assistant
facilities coordinator,2,facilities coordinator
facilities engineer,2,facilities engineer
facilities manager,2,facilities manager
facilities supervisor,2,facilities supervisor
facility manager,2,facility manager
postman,1,facteur
factory manager,2,factory manager
factory worker,2,factory worker
faculty,1,faculty
faculty member,2,faculty member
fae,1,fae
family nurse practitioner,3,family nurse practitioner
family physician,2,family physician
family room specialist,3,family room specialist
farm hand,2,farm hand
farm manager,2,farm manager
pharmaceutical,1,farmaceutica
pharmaceutical,1,farmacêutica
pharmaceutical,1,farmacêutico
pharmacist,1,farmacista
farmer,1,farmer
fashion consultant,2,fashion consultant
fashion designer,2,fashion designer
fashion stylist,2,fashion stylist
estate,1,fastighetsmäklare
meter reading,2,faturista
financial controller,1,fc
financial director,1,fd
front-end,1,fe
fellow,1,fellow
toolmaker,1,ferramenteiro
fi-co freelance consultant,3,fi-co free-lance consultant
field assistant,2,field assistant
field coordinator,2,field coordinator
field engineer,2,field engineer
field manager,2,field manager
field officer,2,field officer
field operations manager,3,field operations manager
field operator,2,field operator
field organizer,2,field organizer
field representative,2,field representative
field sales executive,3,field sales executive
field sales manager,3,field sales manager
field sales representative,3,field sales representative
field service engineer,3,field service engineer
field service manager,3,field service manager
field service representative,3,field service representative
field service technician,3,field service technician
field specialist,2,field specialist
field superintendent,2,field superintendent
field supervisor,2,field supervisor
field technician,2,field technician
file clerk,2,file clerk
branch manager,2,filiaalmanager
director film,2,film director
filmmaker,1,filmmaker
finance,1,finance
finance administrator,2,finance administrator
finance analyst,2,finance analyst
finance and administration manager,4,finance and administration manager
finance assistant,2,finance assistant
finance business partner,3,finance business partner
finance consultant,2,finance consultant
finance controller,2,finance controller
finance director,2,finance director
finance executive,2,finance executive
finance intern,2,finance intern
finance manager,2,finance manager
finance officer,2,finance officer
finance specialist,2,finance specialist
financial,1,financeiro
financial accountant,2,financial accountant
financial administrator,2,financial administrator
financial advisor,2,financial adviser
financial advisor,2,financial advisor
financial analyst,2,financial analyst
financial analyst intern,3,financial analyst intern
financial assistant,2,financial assistant
financial associate,2,financial associate
financial consultant,2,financial consultant
financial controller,2,financial controller
financial counselor,2,financial counselor
financial director,2,financial director
financial manager,2,financial manager
financial officer,2,financial officer
financial planner,2,financial planner
financial representative,2,financial representative
financial services manager,3,financial services manager
financial services representative,3,financial services representative
financial specialist,2,financial specialist
financial administrive co-op,3,financieel administratief medewerker
financial advisor,2,financieel adviseur
fire chief,2,fire chief
firefighter,1,fire fighter
firefighter,1,firefighter
firefighter and paramedic,3,firefighter and paramedic
teacher,3,first grade teacher
first officer,2,first officer
first sergeant,2,first sergeant
physiotherapist,1,fisioterapeuta
physiotherapist,1,fisioterapista
fitness consultant,2,fitness consultant
fitness director,2,fitness director
fitness instructor,2,fitness instructor
fitness manager,2,fitness manager
fitness trainer,2,fitness trainer
fitter,1,fitter
fleet manager,2,fleet manager
flight attendant,2,flight attendant
flight instructor,2,flight instructor
floor manager,2,floor manager
floor supervisor,2,floor supervisor
floral designer,2,floral designer
florist,1,florist
facilities management,1,fm
front office,1,fo
official,1,fonctionnaire
founder,1,fondateur
speech therapist,2,fonoaudióloga
food and beverage,3,food and beverage
food and beverage assistant,4,food and beverage assistant
food and beverage attendant,4,food and beverage attendant
food and beverage manager,4,food and beverage manager
food and beverage supervisor,4,food and beverage supervisor
food runner,2,food runner
food server,2,food server
food service,2,food service
food service director,3,food service director
food service manager,3,food service manager
food service worker,3,food service worker
food technologist,2,food technologist
football coach,2,football coach
football player,2,football player
foreman,1,foreman
forklift driver,2,forklift driver
forklift operator,2,forklift operator
former,1,formador
former,1,formadora
foreman,1,forman
former,1,formateur
trainer,1,formatrice
fortran,1,fortran
photographer,1,fotograaf
photographer,1,fotograf
photographer,1,fotografa
photographer,1,fotógrafa
photographer,1,fotografo
photographer,1,fotógrafo
founder,1,founder
founder  and  ceo,5,founder  and  ceo
founder  and  managing director,6,founder  and  managing director
founder and president,3,founder  and  president
founder and ceo,3,founder and ceo
founder and director,3,founder and director
founder and owner,3,founder and owner
founder and president,3,founder and president
founder ceo,2,founder ceo
founding director,2,founding director
founding member,2,founding member
founding partner,2,founding partner
franchise manager,2,franchise manager
franchise owner,2,franchise owner
franchisee,1,franchisee
fraud analyst,2,fraud analyst
freelancer,1,free lance
freelancer,1,free lancer
freelancer,1,freelance
freelance animator,2,freelance animator
freelance art director,3,freelance art director
freelance artist,2,freelance artist
freelance audio engineer,3,freelance audio engineer
freelance blogger,2,freelance blogger
freelance consultant,2,freelance consultant
freelance designer,2,freelance designer
freelance editor,2,freelance editor
freelance graphic designer,3,freelance graphic designer
freelance illustrator,2,freelance illustrator
freelance journalist,2,freelance journalist
freelance lighting technician,3,freelance lighting technician
freelance makeup artist,3,freelance makeup artist
freelance motion graphic designer,4,freelance motion graphic designer
freelance musician,2,freelance musician
freelance photographer,2,freelance photographer
freelance reporter,2,freelance reporter
freelance technical designer,3,freelance technical designer
freelance translator,2,freelance translator
freelance web developer,3,freelance web developer
freelance writer,2,freelance writer
freelancer,1,freelancer
french teacher,2,french teacher
french tutor,2,french tutor
fresher,1,fresher
frontend developer,2,front-end developer
front desk,2,front desk
front desk agent,3,front desk agent
front desk assistant,3,front desk assistant
front desk associate,3,front desk associate
front desk clerk,3,front desk clerk
front desk coordinator,3,front desk coordinator
front desk manager,3,front desk manager
front desk receptionist,3,front desk receptionist
front desk supervisor,3,front desk supervisor
frontend developer,2,front end developer
front end supervisor,3,front end supervisor
front of house,3,front of house
front office,2,front office
front office assistant,3,front office assistant
front office coordinator,3,front office coordinator
front office executive,3,front office executive
front office manager,3,front office manager
front office receptionist,3,front office receptionist
front office supervisor,3,front office supervisor
front office trainee,3,front office trainee
frontend developer,2,frontend developer
clerk,1,fuldmægtig
full professor,2,full professor
full stack developer,3,full stack developer
full stack web developer,4,full stack web developer
full time student,3,full time student
official,1,funcionario
civil servant,2,funcionario publico
civil servant,2,funcionário público
functional analyst,2,functional analyst
fund accountant,2,fund accountant
founder,1,fundador
fundraiser,1,fundraiser
official,1,funzionario
physiotherapist,1,fysiotherapeut
g.m,1,g.m
gallery assistant,2,gallery assistant
game advisor,2,game advisor
game designer,2,game designer
game developer,2,game developer
gardener,1,gardener
general manager,2,genel müdür
general accountant,2,general accountant
general assistant,2,general assistant
general clerk,2,general clerk
general contractor,2,general contractor
general counsel,2,general counsel
general dentist,2,general dentist
general director,2,general director
general foreman,2,general foreman
general laborer,2,general laborer
general ledger accountant,3,general ledger accountant
general manager,2,general manager
general manager assistant,3,general manager assistant
general manager operations,3,general manager operations
general manager,2,general manger
general practitioner,2,general practitioner
general sales manager,3,general sales manager
general secretary,2,general secretary
general superintendent,2,general superintendent
general supervisor,2,general supervisor
general surgeon,2,general surgeon
geologist,1,geologist
geologist,1,geólogo
quantity surveyor,2,geometra
geophysicist,1,geophysicist
geotechnical engineer,2,geotechnical engineer
retired,1,gepensioneerd
traffic,1,gerant
manager,1,gérant
traffic,1,gerante
manager,1,gérante
management,1,gerencia
manager,1,gerente
administrative manager,2,gerente administrativa
administrative manager,2,gerente administrativo
administrative and financial manager,4,gerente administrativo e financeiro
administrative and financial manager,4,gerente administrativo financeiro
commercial manager,2,gerente comercial
administration and finance manager,4,gerente de administración y finanzas
purchasing manager,2,gerente de compras
sales manager,2,gerente de contas
sales manager,2,gerente de cuentas
logistics manager,2,gerente de logística
store manager,2,gerente de loja
marketing manager,2,gerente de marketing
coo,1,gerente de operaciones
operations manager,2,gerente de operações
plant manager,2,gerente de planta
production manager,2,gerente de produção
project manager,2,gerente de projetos
project manager,2,gerente de proyecto
project manager,2,gerente de proyectos
human resources manager,3,gerente de recursos humanos
branch manager,2,gerente de sucursal
manager of you,3,gerente de ti
store manager,2,gerente de tienda
sales manager,2,gerente de vendas
sales manager,2,gerente de ventas
financial manager,2,gerente financeiro
general manager,2,gerente general
general manager,2,gerente geral
industrial manager,2,gerente industrial
operations manager,2,gerente operacional
regional manager,2,gerente regional
technical manager,2,gerente técnico
german teacher,2,german teacher
executive partner,2,geschäftsführender gesellschafter
executive director,2,geschäftsführer
executive director,2,geschäftsführerin
administrator,1,gestionnaire
manager,1,gestor
business manager,2,gestor comercial
manager,1,gestora
gf,1,gf
journalist,1,giornalista
risk analyst,2,gis analyst
gis intern,2,gis intern
gis technician,2,gis technician
global account manager,3,global account manager
global marketing manager,3,global marketing manager
general manager,1,gm
golf course superintendent,3,golf course superintendent
graduate,1,graduate
graduate architect,2,graduate architect
graduate assistant,2,graduate assistant
graduate engineer,2,graduate engineer
graduate engineer trainee,3,graduate engineer trainee
graduate engineering trainee,3,graduate engineering trainee
graduate intern,2,graduate intern
graduate research assistant,3,graduate research assistant
graduate researcher,2,graduate researcher
graduate student,2,graduate student
graduate student instructor,3,graduate student instructor
graduate student researcher,3,graduate student researcher
graduate teaching assistant,3,graduate teaching assistant
graduate trainee,2,graduate trainee
graphic,1,grafico
graphic artist,2,grafiker
graphic and web designer,4,graphic and web designer
graphic artist,2,graphic artist
graphic designer,2,graphic design
graphic design  and  promotions,6,graphic design  and  promotions
graphic design intern,3,graphic design intern
graphic designer,2,graphic designer
graphic designer,2,graphics designer
graphic artist,2,graphiste
grocery clerk,2,grocery clerk
grocery manager,2,grocery manager
groundskeeper,1,groundskeeper
group account director,3,group account director
group accountant,2,group accountant
group exercise instructor,3,group exercise instructor
group financial controller,3,group financial controller
group fitness instructor,3,group fitness instructor
group leader,2,group leader
group manager,2,group manager
