"","str","to","n"
"1146","chief officer","chief officer",2
"325","chief operating officer","chief operating officer",3
"2051","chief operations officer","chief operating officer",3
"3847","chief technical officer","chief technical officer",3
"1284","chief technology officer","chief technology officer",3
"3130","child care","child care",2
"2625","child care provider","childcare provider",2
"4903","child care worker","child care worker",3
"2140","childcare provider","childcare provider",2
"3571","chinese teacher","chinese teacher",2
"3131","chiropractic assistant","chiropractic assistant",2
"1285","chiropractor","chiropractor",1
"2355","chofer","driver",1
"3848","choreographer","choreographer",1
"1504","cinematographer","cinematographer",1
"968","cio","what",1
"4490","cirujano dentista","dental surgeon",2
"4904","cirurgiã dentista","dental surgeon",2
"4491","cirurgião dentista","dental surgeon",2
"4905","city manager","it manager",2
"4906","civil","civil",1
"3132","civil designer","civil designer",2
"139","civil engineer","civil engineer",2
"4492","civil engineering intern","civil engineering intern",3
"1188","civil servant","civil servant",2
"1558","claims adjuster","claims adjuster",2
"4493","claims analyst","claims analyst",2
"4494","claims assistant","claims assistant",2
"3133","claims consultant","claims consultant",2
"2626","claims examiner","claims examiner",2
"2052","claims manager","claims manager",2
"4907","claims officer","claims officer",2
"2627","claims representative","claims representative",2
"2489","claims specialist","claims specialist",2
"4148","claims supervisor","claims supervisor",2
"2953","class teacher","class teacher",2
"3572","classroom assistant","classroom assistant",2
"1117","classroom teacher","classroom teacher",2
"790","cleaner","cleaner",1
"4149","cleaning","cleaning",1
"1679","clerical","clerical",1
"1085","clerical assistant","clerical assistant",2
"2954","clerical officer","clerical officer",2
"167","clerk","clerk",1
"4495","client","client",1
"4496","client account manager","client account manager",3
"3573","client advisor","client advisor",2
"2356","client executive","client executive",2
"1044","client manager","client manager",2
"1734","client relationship manager","client relationship manager",3
"4150","client service associate","client service associate",3
"4908","client service executive","client service executive",3
"2236","client service manager","client services manager",3
"3849","client service representative","client services representative",3
"1414","client services","client services",2
"3850","client services consultant","client services consultant",3
"4151","client services director","client services director",3
"1086","client services manager","client services manager",3
"3328","client services representative","client services representative",3
"4909","client support specialist","client support specialist",3
"4497","clinic manager","clinic manager",2
"1807","clinical coordinator","clinical coordinator",2
"1808","clinical dietitian","clinical dietitian",2
"2628","clinical director","clinical director",2
"2769","clinical instructor","clinical instructor",2
"4498","clinical intern","clinical intern",2
"2955","clinical manager","clinical manager",2
"4910","clinical nurse","clinical nurse",2
"1809","clinical pharmacist","clinical pharmacist",2
"929","clinical psychologist","clinical psychologist",2
"3851","clinical research assistant","clinical research assistant",3
"846","clinical research associate","clinical research associate",3
"1735","clinical research coordinator","clinical research coordinator",3
"1886","clinical social worker","clinical social worker",3
"2770","clinical specialist","clinical specialist",2
"2237","clinical supervisor","clinical supervisor",2
"1736","clinician","clinician",1
"4499","cm","cm",1
"1737","cmo","how",1
"250","cna","cna",1
"1189","cnc machinist","cnc machinist",2
"2490","cnc programmer","cnc programs",2
"4152","co-director","co-director",1
"142","co-founder","co-founder",1
"2771","co-founder & ceo","co-founder & ceo",3
"2357","co-manager","co-manager",1
"3574","co-op","co-op",1
"1969","co-ordinator","coordinator",1
"208","co-owner","co-owner",1
"239","co founder","co-founder",1
"2956","co manager","co-manager",1
"294","co owner","co owner",2
"340","coach","coach",1
"2238","cocinero","chief",1
"4153","cocktail waitress","cocktail waitress",2
"4154","coder","coder",1
"2772","cofounder","co-founder",1
"2629","colaborador","collaborator",1
"2358","colaboradora","collaborator",1
"4911","collaborateur","collaborator",1
"1023","collaboratore","collaborator",1
"1970","collaboratrice","collaborator",1
"3575","collections","collections",1
"4912","collections manager","collections manager",2
"3329","collections officer","collections officer",2
"4155","collections specialist","collections specialist",2
"2773","collector","collector",1
"1738","columnist","columnist",1
"3852","combat engineer","combat engineer",2
"251","comercial","commercial",1
"4913","comercial de ventas","sales commercial",2
"648","comerciante","merchant",1
"4914","commander","commander",1
"422","commercial","commercial",1
"4500","commercial account executive","commercial account executive",3
"2359","commercial account manager","commercial account manager",3
"2630","commercial analyst","commercial analyst",2
"1680","commercial assistant","commercial assistant",2
"675","commercial director","commercial director",2
"3330","commercial diver","commercial diver",2
"2239","commercial executive","commercial executive",2
"350","commercial manager","commercial manager",2
"3853","commercial sales","commercial sales",2
"4156","commercial sales manager","commercial sales manager",3
"640","commerciale","commercial",1
"3854","commercialista","business consultant",2
"2053","commerciante","merchant",1
"4501","commercieel directeur","commercial director",2
"1971","commercieel medewerker","commercial assistant",2
"3576","commercieel medewerker binnendienst","sales representative",2
"1363","commessa","shop assistant",2
"4502","commesso","shop assistant",2
"3577","commis","clerk",1
"4503","commis chef","chief clerk",2
"3578","commis de cuisine","kitchen clerk",2
"3134","commissioner","commissioner",1
"2774","commissioning engineer","commissioning engineer",2
"4504","commissioning manager","commissioning manager",2
"2054","committee member","committee member",2
"2957","commodity manager","commodity manager",2
"2958","communicatieadviseur","communications adviser",2
"4915","communication","communications",1
"4157","communication consultant","communications consultant",2
"3135","communication manager","communications manager",2
"2959","communication officer","communications officer",2
"3136","communication specialist","communication specialist",2
"3855","communications","communications",1
"3331","communications advisor","communications adviser",2
"2055","communications assistant","communications assistant",2
"2960","communications consultant","communications consultant",2
"1455","communications coordinator","communications coordinator",2
"1456","communications director","communications director",2
"998","communications intern","communications intern",2
"715","communications manager","communications manager",2
"1118","communications officer","communications officer",2
"1164","communications specialist","communications specialist",2
"2961","community assistant","community assistant",2
"4916","community director","community director",2
"2962","community liaison","community liaison",2
"405","community manager","community manager",2
"3137","community organizer","community organizer",2
"4158","community outreach coordinator","community outreach coordinator",3
"4505","community relations manager","community relations manager",3
"4159","company","company",1
"3332","company commander","company commander",2
"869","company director","company director",2
"1067","company owner","company owner",2
"727","company secretary","company secretary",2
"2631","compliance analyst","compliance analyst",2
"2056","compliance manager","compliance manager",2
"1087","compliance officer","compliance officer",2
"3579","compliance specialist","compliance specialist",2
"2360","composer","composer",1
"2632","compositor","composer",1
"815","comprador","buyer",1
"2491","compradora","buyer",1
"2361","compras","shopping",1
"252","comptable","accounting",1
"2775","comptroller","comptroller",1
"2240","computer","computer",1
"1810","computer engineer","computer engineer",2
"3580","computer instructor","computer instructor",2
"2241","computer lab assistant","computer lab assistant",3
"507","computer operator","computer operator",2
"947","computer programmer","computer programs",2
"3333","computer specialist","computer specialist",2
"4917","computer systems analyst","computer systems analyst",3
"2242","computer teacher","computer teacher",2
"4918","computer tech","computer teacher",2
"497","computer technician","computer technician",2
"4506","concept artist","concept artist",2
"948","concierge","concierge",1
"2243","conducteur de travaux","work supervisor",2
"999","conductor","conductor",1
"4919","conference coordinator","conference coordinator",2
"1505","conferente","lecturer",1
"4507","configuration manager","configuration manager",2
"2244","conseiller","advisor",1
"3856","conseiller clientèle","customer advisor",2
"1972","conseiller commercial","commercial counsellor",2
"3581","conseiller de vente","sales consultant",2
"4920","conseiller financier","financial advisor",2
"4508","conseillère clientèle","customer advisor",2
"1739","conseillère de vente","sales consultant",2
"847","construction","construction",1
"4921","construction consultant","construction consultant",2
"1887","construction engineer","construction engineer",2
"3334","construction foreman","construction foreman",2
"3335","construction laborer","construction laborer",2
"334","construction manager","construction manager",2
"4160","construction project manager","construction project manager",3
"2633","construction superintendent","construction superintendent",2
"1626","construction supervisor","construction supervisor",2
"2492","construction worker","construction worker",2
"791","consulente","consultant",1
"4161","consulente del lavoro","labor consultant",2
"8","consultant","consultant",1
"3336","consultant engineer","consultant engineer",2
"2141","consultante","consultant",1
"3138","consulting","consulting",1
"2776","consulting engineer","consulting engineer",2
"190","consultor","consultant",1
"1415","consultor comercial","business consultant",2
"4922","consultor de negócios","business consultant",2
"742","consultor de vendas","sales consultant",2
"3139","consultor sap/abap certificado","sap / abap certified consultant",5
"3140","consultor senior","senior advisor",2
"2057","consultor técnico","technical advisor",2
"615","consultora","consultant",1
"2963","consultora comercial","business consultant",2
"4923","consultora de rh","rh consulting",2
"2142","consultora de vendas","sales consultant",2
"4924","consultora imobiliária","real estate consultant",3
"4925","contabil","accountant",1
"4509","contabilidade","accounting",1
"2777","contabilista","accountant",1
"1506","contable","accountant",1
"358","contador","counter",1
"1559","contador general","general counter",2
"2245","contador publico","certified public accountant",3
"766","contadora","counter",1
"2493","content developer","content developer",2
"3337","content editor","content editor",2
"1740","content manager","content manager",2
"4162","content producer","content producer",2
"800","content writer","content writer",2
"4926","continuous improvement manager","continuous improvement manager",3
"897","contract administrator","contract administrator",2
"2778","contract attorney","contract attorney",2
"829","contract manager","contracts manager",2
"4510","contract recruiter","contract recruiter",2
"4163","contract software engineer","contract software engineer",3
"1741","contract specialist","contract specialist",2
"4164","contracting officer","contracting officer",2
"345","contractor","contractor",1
"1457","contracts administrator","contracts administrator",2
"759","contracts manager","contracts manager",2
"4927","contralor","comptroller",1
"2779","contratista","contractor",1
"912","contributing writer","contributing writer",2
"1560","contributor","contributor",1
"4511","control de calidad","qa",1
"3582","control room operator","control room operator",3
"3857","contrôleur","controller",1
"4512","controleur de gestion","management control",2
"1973","contrôleur de gestion","management control",2
"76","controller","controller",1
"2964","controls engineer","controls engineer",2
"418","coo","coo",1
"191","cook","cook",1
"1147","coordenador","coordinator",1
"4165","coordenador administrativo","administrative coordinator",2
"3858","coordenador comercial","commercial coordinator",2
"3583","coordenador de logística","logistics coordinator",2
"2965","coordenador de produção","production coordinator",2
"2143","coordenador de projetos","project coordinator",2
"3859","coordenador de vendas","sales coordinator",2
"2634","coordenadora","coordinator",1
"676","coordinador","coordinator",1
"3860","coordinador administrativo","administrative coordinator",2
"4166","coordinador de operaciones","operations coordinator",2
"4167","coordinador de proyecto","project coordinator",2
"3584","coordinador de proyectos","project coordinator",2
"4928","coordinador de recursos humanos","hr coordinator",2
"1316","coordinadora","coordinator",1
"253","coordinator","coordinator",1
"1286","copy editor","copy editor",2
"623","copywriter","copywriter",1
"4929","copywriting intern","copywriting intern",2
"2246","corporal","bodily",1
"1364","corporate account manager","corporate account manager",3
"4168","corporate accountant","corporate accountant",2
"4930","corporate communications manager","corporate communications manager",3
"1165","corporate controller","corporate controller",2
"2780","corporate counsel","corporate counsel",2
"1974","corporate recruiter","corporate recruiter",2
"3861","corporate sales","corporate sales",2
"2247","corporate sales manager","corporate sales manager",3
"3585","corporate secretary","corporate secretary",2
"1561","corporate trainer","corporate trainer",2
"1742","corps member","corps member",2
"949","correctional officer","correctional officer",2
"2362","corrections officer","correctional officer",2
"2781","correspondent","correspondent",1
"1888","corretor","broker",1
"4169","corretor de imoveis","realtor",1
"1975","corretor de imóveis","realtor",1
"4170","corretor imobiliário","real estate broker",3
"2635","corretora","broker",1
"2363","corretora de imóveis","realtor",1
"1458","cosmetologist","cosmetologist",1
"1743","cost accountant","cost accountant",2
"2966","cost analyst","cost analyst",2
"3862","cost controller","cost controller",2
"3586","cost engineer","cost engineer",2
"1317","costume designer","costume designer",2
"2967","costumer service","customer service",2
"2636","council member","council member",2
"3141","councillor","councillor",1
"1365","counsel","counsel",1
"2782","counseling intern","counseling intern",2
"885","counsellor","counselor",1
"315","counselor","counselor",1
"4513","counter manager","country manager",2
"665","country manager","country manager",2
"1507","courier","courier",1
"4931","court clerk","court clerk",2
"2783","court reporter","court reporter",2
"2364","courtesy clerk","courtesy clerk",2
"3863","cozinheira","cook",1
"816","cpa","cpa",1
"2365","cra","ave",1
"1811","crane operator","crane operator",2
"1366","creative","creative",1
"1812","creative designer","creative designer",2
"158","creative director","creative director",2
"3864","creative intern","creative intern",2
"3338","creative manager","creative manager",2
"4514","creative producer","creative producer",2
"2248","creator","creator",1
"432","credit analyst","credit analyst",2
"792","credit controller","credit controller",2
"649","credit manager","credit manager",2
"1744","credit officer","credit officer",2
"2968","credit risk analyst","credit risk analyst",3
"4932","credit specialist","credit specialist",2
"4933","creditors clerk","creditors clerk",2
"1627","crew","crew",1
"1889","crew chief","crew chief",2
"3142","crew leader","crew leader",2
"4934","crew manager","crew manager",2
"284","crew member","crew member",2
"1562","crew trainer","crew trainer",2
"4935","critical care registered nurse","critical care registered nurse",4
"1976","critical care rn","critical care rn",3
"3143","crna","black",1
"4936","croupier","croupier",1
"4515","cs","cs",1
"1287","csa","csa",1
"2058","cse","au",1
"3865","cso","tube",1
"240","csr","csr",1
"4516","css","css",1
"377","cto","cto",1
"3587","cuisinier","cook",1
"4937","cuoco","cook",1
"1563","curator","curator",1
"1681","custodian","custodian",1
"3866","customer account manager","customer account manager",3
"1246","customer advisor","customer advisor",2
"969","customer assistant","customer assistant",2
"1459","customer care","customer care",2
"4171","customer care agent","customer care agent",3
"1682","customer care executive","customer care executive",3
"2249","customer care manager","customer care manager",3
"4172","customer care officer","customer care officer",3
"1890","customer care representative","customer care representative",3
"1891","customer care specialist","customer care specialist",3
"4173","customer care supervisor","customer care supervisor",3
"2784","customer consultant","customer consultant",2
"4174","customer engineer","customer engineer",2
"3144","customer experience manager","customer experience manager",3
"4938","customer manager","customer manager",2
"2637","customer relations","customer relations",2
"2366","customer relations manager","customer relations manager",3
"3867","customer relationship manager","customer relations manager",3
"3339","customer sales representative","customer sales representative",3
"57","customer service","customer service",2
"4517","customer service administrator","customer service administrator",3
"728","customer service advisor","customer service advisor",3
"456","customer service agent","customer service agent",3
"3868","customer service and sales representative","customer service and sales representative",5
"1045","customer service assistant","customer service assistant",3
"554","customer service associate","customer service associate",3
"3588","customer service cashier","customer service cashier",3
"3145","customer service clerk","customer service clerk",3
"2969","customer service consultant","customer service consultant",3
"2059","customer service coordinator","customer service coordinator",3
"2494","customer service engineer","customer service engineer",3
"1119","customer service executive","customer service executive",3
"199","customer service manager","customer service manager",3
"698","customer service officer","customer service officer",3
"4518","customer service professional","customer service professional",3
"445","customer service rep","customer service",2
"2785","customer service rep.","customer service",2
"33","customer service representative","customer service representative",3
"583","customer service specialist","customer service specialist",3
"650","customer service supervisor","customer service supervisor",3
"4519","customer service team lead","customer service team leader",4
"3146","customer service team leader","customer service team leader",4
"1892","customer services","customer service",2
"3147","customer success manager","customer success manager",3
"1046","customer support","customer support",2
"1813","customer support engineer","customer support engineer",3
"2970","customer support executive","customer support executive",3
"2786","customer support manager","customer support manager",3
"2060","customer support specialist","customer support specialist",3
"4939","daf","daf",1
"1564","daglig leder","ceo",1
"1683","dance instructor","dance instructor",2
"2061","dance teacher","dance teacher",2
"1367","dancer","dancer",1
"4175","data administrator","administrator date",2
"303","data analyst","data analyst",2
"4176","data architect","data architect",2
"3589","data engineer","data engineer",2
"513","data entry","data entry",2
"970","data entry clerk","data entry clerk",3
"1893","data entry operator","data entry operator",3
"4177","data entry specialist","data entry specialist",3
"1565","data manager","data manager",2
"3869","data processor","data processor",2
"1566","data scientist","data scientist",2
"4520","data specialist","data specialist",2
"491","database administrator","database administrator",2
"3148","database analyst","database analyst",2
"2250","database developer","database developer",2
"3340","database manager","database manager",2
"4178","daycare provider","daycare provider",2
"1088","dba","dba",1
"1894","dealer","dealer",1
"3590","dean","dean",1
"3591","dean of students","dean of students",3
"3341","debt collector","debt collector",2
"3342","deckhand","deckhand",1
"4521","decorator","decorator",1
"3870","delegado","delegate",1
"3343","delegado comercial","business delegate",2
"4940","delegate","delegate",1
"2787","deli clerk","deli clerk",2
"2495","delineante","draftsman",1
"4522","delivery","delivery",1
"562","delivery driver","delivery driver",2
"1628","delivery manager","delivery manager",2
"2496","demand planner","demand planner",2
"4941","demi chef","vice chief",2
"3871","demi chef de partie","chef de partie",3
"1745","demonstrator","demonstrator",1
"605","dental assistant","dental assistant",2
"1047","dental hygienist","dental hygienist",2
"3872","dental nurse","dental nurse",2
"2144","dental surgeon","dental surgeon",2
"4942","dental technician","dental technician",2
"406","dentist","dentist",1
"2497","dentista","dentist",1
"4943","deo","part",1
"2788","departamento comercial","commercial department",2
"2971","department head","department head",2
"355","department manager","department manager",2
"2367","department supervisor","department supervisor",2
"716","dependienta","salesman",1
"1567","dependiente","salesman",1
"3592","depot manager","depot manager",2
"616","deputy director","deputy director",2
"2789","deputy editor","deputy editor",2
"886","deputy general manager","deputy general manager",3
"311","deputy manager","deputy manager",2
"3593","deputy managing director","deputy managing director",3
"4944","deputy principal","deputy principal",2
"3873","deputy project manager","deputy project manager",3
"1416","deputy sheriff","deputy sheriff",2
"2062","desarrollador","developer",1
"1814","desarrollador de software","software developer",2
"4179","desarrollador web","web developer",2
"3594","desempleado","unemployed",1
"4945","desempregada","unemployed",1
"3595","desempregado","unemployed",1
"3596","desenhista","designer",1
"3874","desenhista projetista","graphic designer",2
"3875","desenvolvedor","developer",1
"3876","desenvolvedor web","web developer",2
"1977","design","design",1
"1629","design assistant","design assistant",2
"4523","design associate","design associate",2
"913","design consultant","design consultant",2
"1068","design director","design director",2
"108","design engineer","design engineer",2
"508","design intern","intern design",2
"1630","design manager","design manager",2
"49","designer","designer",1
"1368","designer gráfico","graphic designer",2
"2368","designer graphique","graphic designer",2
"2972","desktop engineer","desktop engineer",2
"950","desktop support","desktop support",2
"3597","desktop support analyst","desktop support analyst",3
"2369","desktop support engineer","desktop support engineer",3
"2251","desktop support technician","desktop support technician",3
"4946","desktop technician","desktop technician",2
"4180","dessinateur","designer",1
"3344","dessinateur projeteur","draftsman",1
"4524","detailer","details",1
"1369","detective","detective",1
"123","developer","developer",1
"2638","development assistant","development assistant",2
"1417","development associate","development associate",2
"3598","development consultant","development consultant",2
"2252","development coordinator","development coordinator",2
"1247","development director","development director",2
"848","development engineer","development engineer",2
"1508","development intern","development intern",2
"541","development manager","development manager",2
"2370","development officer","development officer",2
"4525","development specialist","development specialist",2
"1978","développeur","developer",1
"4526","développeur logiciels","software developer",2
"4527","développeur mainframe","mainframe developer",2
"1815","développeur web","web developer",2
"3599","devops engineer","devops engineer",2
"4947","dg","with",1
"4948","dga","dga",1
"3149","dgm","dgm",1
"2790","diesel mechanic","diesel mechanic",2
"2063","dietary aide","dietary aide",2
"1631","dietetic intern","intern dietary",2
"1979","dietitian","dietitian",1
"3600","digitador","typist",1
"4528","digitadora","typist",1
"4529","digital account manager","digital account manager",3
"4530","digital compositor","digital composer",2
"2253","digital marketing consultant","digital marketing consultant",3
"2254","digital marketing executive","digital marketing executive",3
"2639","digital marketing intern","digital marketing intern",3
"1089","digital marketing manager","digital marketing manager",3
"3345","digital marketing specialist","digital marketing specialist",3
"2973","dipendente","employee",1
"4181","direccion","address",1
"4949","dirección","address",1
"1509","direct support professional","direct support professional",3
"153","directeur","director",1
"2640","directeur adjoint","deputy director",2
"3346","directeur artistique","artistic director",2
"914","directeur commercial","commercial director",2
"2498","directeur d'agence","agency director",2
"3601","directeur de magasin","store manager",2
"3602","directeur de production","production director",2
"3603","directeur de projet","project director",2
"4531","directeur des ventes","sales manager",2
"4532","directeur general","general manager",2
"887","directeur général","general manager",2
"4950","directeur regional","regional director",2
"4533","directeur régional","regional director",2
"2145","directeur technique","technical director",2
"2371","directiesecretaresse","executive secretary",2
"3877","directional driller","directional driller",2
"3","director","director",1
"3347","director- video editor","director- video editor",3
"4951","director / owner","director/owner",1
"3878","director administrativo","administrative director",2
"1090","director business development","director business development",3
"4952","director client services","director client services",3
"548","director comercial","commercial director",2
"2064","director creativo","creative director",2
"2791","director de arte","art director",2
"3348","director de operaciones","director of operations",3
"4534","director de proyecto","project director",2
"1746","director de proyectos","project director",2
"4953","director de ventas","sales manager",2
"2792","director ejecutivo","executive director",2
"2146","director financiero","cfo",1
"433","director general","director general",2
"2499","director gerente","managing director",2
"1460","director human resources","director human resources",3
"3879","director marketing","director of marketing",3
"3349","director of accounting","director of accounting",3
"4535","director of admissions","director of admissions",3
"514","director of business development","director of business development",4
"3150","director of client services","director of client services",4
"1461","director of communications","director of communications",3
"743","director of development","director of development",3
"1980","director of education","director of education",3
"1048","director of engineering","director of engineering",3
"915","director of finance","director of finance",3
"4954","director of finance and administration","director of finance and administration",5
"3880","director of food and beverage","director of food and beverage",5
"4536","director of hr","director of hr",3
"606","director of human resources","director of human resources",4
"1462","director of information technology","director of information technology",4
"3151","director of it","director of it",3
"3604","director of maintenance","director of maintenance",3
"2974","director of manufacturing","director of manufacturing",3
"356","director of marketing","director of marketing",3
"4537","director of marketing and sales","director of marketing and sales",5
"2372","director of nursing","director of nursing",3
"161","director of operations","director of operations",3
"1248","director of photography","director of photography",3
"3605","director of purchasing","director of purchasing",3
"4182","director of quality","director of quality",3
"3152","director of research","director of research",3
"285","director of sales","director of sales",3
"2147","director of sales & marketing","director of sales & marketing",5
"1091","director of sales and marketing","director of sales and marketing",5
"4538","director of security","director of security",3
"2148","director of technology","director of technology",3
"2793","director operations","director operations",2
"4183","director product management","director product management",3
"2255","director técnico","technical director",2
"4184","director/owner","director/owner",1
"452","directora","director",1
"2065","directora comercial","commercial director",2
"4185","directora general","ceo",1
"1190","directrice","headmistress",1
"4955","directrice adjointe","assistant director",2
"3606","directrice générale","executive director",2
"1747","direktor","director",1
"2373","direktør","director",1
"3607","direktur","director",1
"216","diretor","director",1
"2374","diretor administrativo","administrative director",2
"1191","diretor comercial","commercial director",2
"4186","diretor de arte","art director",2
"2149","diretor executivo","ceo",1
"4956","diretor geral","director general",2
"3881","diretor técnico","technical director",2
"971","diretora","director",1
"1370","direttore","director",1
"4539","direttore commerciale","commercial director",2
"3608","direttore generale","general manager",2
"1895","direttore tecnico","technical director",2
"1748","dirigeant","leader",1
"1000","dirigente","leader",1
"2794","dirigente medico","media manager",2
"1568","disabled","disabled",1
"4187","disegnatore tecnico","technical designer",2
"1249","diseñador","designer",1
"1569","diseñador grafico","graphic designer",2
"484","diseñador gráfico","graphic designer",2
"4540","diseñador industrial","industrial designer",2
"2375","diseñadora","designer",1
"1371","diseñadora gráfica","graphic designer",2
"1749","dishwasher","dishwasher",1
"4541","dispatch","dispatcher",1
"542","dispatcher","dispatcher",1
"1166","distribution manager","distribution manager",2
"2795","distribution supervisor","distribution supervisor",2
"744","distributor","distributor",1
"181","district manager","district manager",2
"392","district sales manager","district sales manager",3
"4957","division director","division director",2
"972","division manager","division manager",2
"3882","divisional manager","divisional manager",2
"677","dj","dj",1
"4542","dm","dm",1
"4543","docencia","teaching",1
"1092","docent","teacher",1
"50","docente","teacher",1
"4188","docente investigador","teaching researcher",2
"3883","docente universitario","university teacher",2
"4189","docteur en chirurgie dentaire","doctor in dental surgery",4
"211","doctor","doctor",1
"4544","doctor of chiropractic","doctor of chiropractic",3
"4958","doctoral candidate","doctoral candidate",2
"2500","doctoral student","doctoral student",2
"4190","doctorant","phd student",2
"767","document controller","document controller",2
"4959","document specialist","document specialist",2
"4960","documentation officer","documentation officer",2
"3350","dog groomer","dog groomer",2
"4961","doktor","doctor",1
"2256","domestic engineer","domestic engineer",2
"3351","dosen","lecturer",1
"1896","dottore commercialista","chartered accountant",2
"4545","dozent","lecturer",1
"4962","dozentin","professor",1
"453","dr","dr",1
"1219","dr.","dr.",1
"3352","drafter","drafter",1
"1093","draftsman","draftsman",1
"4546","draftsperson","draftsperson",1
"4963","drama teacher","drama teacher",2
"2501","draughtsman","draughtsman",1
"1570","driller","teases",1
"3884","drilling engineer","drilling engineer",2
"2257","drilling supervisor","drilling supervisor",2
"126","driver","driver",1
"4191","driver helper","driver helper",2
"4547","driving instructor","driving instructor",2
"4964","drs","drs",1
"2502","drummer","drummer",1
"4965","dsm","dsm",1
"4966","dsp","dsp",1
"1684","dueña","owner",1
"569","dueño","owner",1
"973","duty manager","deputy manager",2
"3885","dy manager","deputy manager",2
"4548","dy.manager","deputy manager",2
"3609","dyrektor","director",1
"4549","e-commerce manager","e-commerce manager",2
"4967","ea","she",1
"2975","early childhood educator","early childhood educator",3
"439","economist","economist",1
"3353","economista","economist",1
"103","editor","editor",1
"2150","editor-in-chief","editor-in-chief",1
"930","editor in chief","editor in chief",3
"830","editorial assistant","editorial assistant",2
"630","editorial intern","intern editorial",2
"3610","educador","educator",1
"3886","educador social","social educator",2
"1897","educadora","educator",1
"4968","educadora social","social educator",2
"1685","education","education",1
"2151","education consultant","education consultant",2
"2376","education coordinator","education coordinator",2
"4192","education director","education director",2
"2503","education officer","education officer",2
"3611","education specialist","education specialist",2
"1571","educational assistant","educational assistant",2
"1686","educational consultant","educational consultant",2
"219","educator","educator",1
"1250","educatrice","educator",1
"3887","éducatrice spécialisée","special education teacher",3
"2796","efl teacher","esl teacher",2
"4550","egen företagare","self employed",2
"4193","ehs manager","house manager",2
"333","eigenaar","owner",1
"4551","eindredacteur","editor-in-chief",1
"3888","ejecutiva comercial","business executive",2
"2504","ejecutiva de cuenta","sales executive",2
"1167","ejecutiva de cuentas","sales executive",2
"974","ejecutiva de ventas","sales executive",2
"2641","ejecutivo","executive",1
"2377","ejecutivo comercial","business executive",2
"2152","ejecutivo de cuenta","sales executive",2
"951","ejecutivo de cuentas","sales executive",2
"641","ejecutivo de ventas","sales executive",2
"3153","ekonomiassistent","ekonomiassistent",1
"3154","ekonomichef","cfo",1
"2797","electrical","electrical",1
"3354","electrical apprentice","electrical apprentice",2
"1981","electrical design engineer","electrical design engineer",3
"3355","electrical designer","electrical designer",2
"120","electrical engineer","electrical engineer",2
"2258","electrical engineering intern","electrical engineering intern",3
"2066","electrical foreman","electrical foreman",2
"3889","electrical project engineer","electrical project engineer",3
"4552","electrical superintendent","electrical superintendent",2
"1463","electrical supervisor","electrical supervisor",2
"782","electrical technician","electrical technician",2
"134","electrician","electrician",1
"2505","electricista","electrical technician",2
"1572","electronic engineer","electronic engineer",2
"1024","electronic technician","electronic technician",2
"2153","electronics engineer","electronic engineer",2
"1418","electronics technician","electronic technician",2
"1982","elektriker","electrician",1
"1001","elementary school teacher","elementary school teacher",3
"1573","elementary teacher","elementary teacher",2
"1318","eletricista","electrician",1
"2506","eletricista de manutenção","maintenance electrician",2
"3890","elettricista","electrician",1
"4194","elev","student",1
"1983","embedded software engineer","embedded software engineer",3
"2507","emekli","retired",1
"1419","emergency medical technician","emergency medical technician",3
"4195","emergency physician","emergency physician",2
"3612","emergency room rn","emergency room rn",3
"1049","empleada","employee",1
"300","empleado","employee",1
"3613","empleado en prácticas","employee in practices",3
"1632","employé","employee",1
"4553","employé commercial","commercial employee",2
"1148","employed","employed",1
"266","employee","employee",1
"2642","employée","employee",1
"4969","employer","employer",1
"3155","employment consultant","employment consultant",2
"3156","employment specialist","employment specialist",2
"4196","empresa","company",1
"1094","empresaria","businessman",1
"3157","empresária","businessman",1
"666","empresario","businessman",1
"1750","empresário","businessman",1
"1120","emt","emt",1
"3891","emt-b","emt-b",1
"1288","encargada","responsible",1
"4970","encargada de producion","in charge of production",4
"549","encargado","in charge",2
"4197","encargado de compras","purchasing agent",2
"2643","encarregado","in charge",2
"3614","energy consultant","energy consultant",2
"454","enfermeira","nurse",1
"1984","enfermeiro","nurse",1
"563","enfermera","nurse",1
"4971","enfermero","nurse",1
"1816","eng","eng",1
"1687","engagement manager","engagement manager",2
"2154","engenheira civil","civil engineer",2
"931","engenheiro","engineer",1
"768","engenheiro civil","civil engineer",2
"4198","engenheiro mecânico","mechanical engineer",2
"24","engineer","engineer",1
"3615","engineer in training","engineer in training",3
"4554","engineer intern","engineer intern",2
"3616","engineer trainee","engineer trainee",2
"1002","engineering","engineering",1
"2155","engineering assistant","engineering assistant",2
"3892","engineering co-op","engineering co-op",2
"2259","engineering consultant","engineering consultant",2
"3893","engineering director","engineering director",2
"306","engineering intern","engineering intern",2
"254","engineering manager","engineering manager",2
"3158","engineering supervisor","engineering supervisor",2
"801","engineering technician","engineering technician",2
"1898","engineering trainee","engineering trainee",2
"1899","english instructor","english instructor",2
"3356","english language instructor","english language instructor",3
"760","english language teacher","english language teacher",3
"88","english teacher","english teacher",2
"3894","english teaching assistant","english teaching assistant",3
"1817","english tutor","english tutor",2
"4555","enhetschef","unit",1
"607","enseignant","teacher",1
"3617","enseignant chercheur","teacher researcher",2
"717","enseignante","teacher",1
"3895","enterprise account manager","enterprise account manager",3
